analysis_area_id	date	volume
233	2016-07-12 00:00:00+00:00	340
233	2016-07-13 00:00:00+00:00	333
233	2016-07-14 00:00:00+00:00	431
233	2016-07-15 00:00:00+00:00	334
233	2016-07-16 00:00:00+00:00	282
233	2016-07-17 00:00:00+00:00	374
233	2016-07-18 00:00:00+00:00	317
233	2016-07-19 00:00:00+00:00	401
233	2016-07-20 00:00:00+00:00	367
233	2016-07-21 00:00:00+00:00	371
233	2016-07-22 00:00:00+00:00	252
233	2016-07-23 00:00:00+00:00	316
233	2016-07-24 00:00:00+00:00	374
233	2016-07-25 00:00:00+00:00	376
233	2016-07-26 00:00:00+00:00	403
233	2016-07-27 00:00:00+00:00	325
233	2016-07-28 00:00:00+00:00	375
233	2016-07-29 00:00:00+00:00	327
233	2016-07-30 00:00:00+00:00	350
233	2016-07-31 00:00:00+00:00	334
233	2016-08-01 00:00:00+00:00	361
233	2016-08-02 00:00:00+00:00	332
233	2016-08-03 00:00:00+00:00	369
233	2016-08-04 00:00:00+00:00	405
233	2016-08-05 00:00:00+00:00	351
233	2016-08-06 00:00:00+00:00	359
233	2016-08-07 00:00:00+00:00	146
233	2016-08-08 00:00:00+00:00	318
233	2016-08-09 00:00:00+00:00	324
233	2016-08-10 00:00:00+00:00	398
233	2016-08-11 00:00:00+00:00	398
233	2016-08-12 00:00:00+00:00	348
233	2016-08-13 00:00:00+00:00	299
233	2016-08-14 00:00:00+00:00	387
233	2016-08-15 00:00:00+00:00	377
233	2016-08-16 00:00:00+00:00	379
233	2016-08-17 00:00:00+00:00	324
233	2016-08-18 00:00:00+00:00	385
233	2016-08-19 00:00:00+00:00	262
233	2016-08-20 00:00:00+00:00	289
233	2016-08-21 00:00:00+00:00	317
233	2016-08-22 00:00:00+00:00	302
233	2016-08-23 00:00:00+00:00	347
233	2016-08-24 00:00:00+00:00	329
233	2016-08-25 00:00:00+00:00	347
233	2016-08-26 00:00:00+00:00	291
233	2016-08-27 00:00:00+00:00	276
233	2016-08-28 00:00:00+00:00	378
233	2016-08-29 00:00:00+00:00	325
233	2016-08-30 00:00:00+00:00	327
233	2016-08-31 00:00:00+00:00	186
233	2016-09-01 00:00:00+00:00	181
233	2016-09-02 00:00:00+00:00	193
233	2016-09-03 00:00:00+00:00	221
233	2016-09-04 00:00:00+00:00	337
233	2016-09-05 00:00:00+00:00	310
233	2016-09-06 00:00:00+00:00	120
233	2016-09-07 00:00:00+00:00	216
233	2016-09-08 00:00:00+00:00	283
233	2016-09-09 00:00:00+00:00	261
233	2016-09-10 00:00:00+00:00	341
233	2016-09-11 00:00:00+00:00	248
233	2016-09-12 00:00:00+00:00	313
233	2016-09-13 00:00:00+00:00	336
233	2016-09-14 00:00:00+00:00	322
233	2016-09-15 00:00:00+00:00	300
233	2016-09-16 00:00:00+00:00	269
233	2016-09-17 00:00:00+00:00	171
233	2016-09-18 00:00:00+00:00	208
233	2016-09-19 00:00:00+00:00	224
233	2016-09-20 00:00:00+00:00	358
233	2016-09-21 00:00:00+00:00	261
233	2016-09-22 00:00:00+00:00	301
233	2016-09-23 00:00:00+00:00	142
233	2016-09-24 00:00:00+00:00	232
233	2016-09-25 00:00:00+00:00	314
233	2016-09-26 00:00:00+00:00	328
233	2016-09-27 00:00:00+00:00	245
233	2016-09-28 00:00:00+00:00	295
233	2016-09-29 00:00:00+00:00	286
233	2016-09-30 00:00:00+00:00	234
233	2016-10-01 00:00:00+00:00	141
233	2016-10-02 00:00:00+00:00	214
233	2016-10-03 00:00:00+00:00	221
233	2016-10-04 00:00:00+00:00	168
233	2016-10-05 00:00:00+00:00	171
233	2016-10-06 00:00:00+00:00	161
233	2016-10-07 00:00:00+00:00	182
233	2016-10-08 00:00:00+00:00	68
233	2016-10-09 00:00:00+00:00	134
233	2016-10-10 00:00:00+00:00	206
233	2016-10-11 00:00:00+00:00	260
233	2016-10-12 00:00:00+00:00	230
233	2016-10-13 00:00:00+00:00	76
233	2016-10-14 00:00:00+00:00	52
233	2016-10-15 00:00:00+00:00	50
233	2016-10-16 00:00:00+00:00	77
233	2016-10-17 00:00:00+00:00	139
233	2016-10-18 00:00:00+00:00	137
233	2016-10-19 00:00:00+00:00	161
233	2016-10-20 00:00:00+00:00	127
233	2016-10-21 00:00:00+00:00	149
233	2016-10-22 00:00:00+00:00	231
233	2016-10-23 00:00:00+00:00	168
233	2016-10-24 00:00:00+00:00	172
233	2016-10-25 00:00:00+00:00	183
233	2016-10-26 00:00:00+00:00	72
233	2016-10-27 00:00:00+00:00	151
233	2016-10-28 00:00:00+00:00	197
233	2016-10-29 00:00:00+00:00	122
233	2016-10-30 00:00:00+00:00	87
233	2016-10-31 00:00:00+00:00	138
233	2016-11-01 00:00:00+00:00	140
233	2016-11-02 00:00:00+00:00	132
233	2016-11-03 00:00:00+00:00	213
233	2016-11-04 00:00:00+00:00	215
233	2016-11-05 00:00:00+00:00	30
233	2016-11-06 00:00:00+00:00	204
233	2016-11-07 00:00:00+00:00	168
233	2016-11-08 00:00:00+00:00	254
233	2016-11-09 00:00:00+00:00	207
233	2016-11-10 00:00:00+00:00	178
233	2016-11-11 00:00:00+00:00	162
233	2016-11-12 00:00:00+00:00	114
233	2016-11-13 00:00:00+00:00	99
233	2016-11-14 00:00:00+00:00	198
233	2016-11-15 00:00:00+00:00	106
233	2016-11-16 00:00:00+00:00	140
233	2016-11-17 00:00:00+00:00	167
233	2016-11-18 00:00:00+00:00	129
233	2016-11-19 00:00:00+00:00	100
233	2016-11-20 00:00:00+00:00	87
233	2016-11-21 00:00:00+00:00	163
233	2016-11-22 00:00:00+00:00	116
233	2016-11-23 00:00:00+00:00	71
233	2016-11-24 00:00:00+00:00	22
233	2016-11-25 00:00:00+00:00	102
233	2016-11-26 00:00:00+00:00	57
233	2016-11-27 00:00:00+00:00	66
233	2016-11-28 00:00:00+00:00	179
233	2016-11-29 00:00:00+00:00	162
233	2016-11-30 00:00:00+00:00	120
233	2016-12-01 00:00:00+00:00	135
233	2016-12-02 00:00:00+00:00	80
233	2016-12-03 00:00:00+00:00	73
233	2016-12-04 00:00:00+00:00	131
233	2016-12-05 00:00:00+00:00	85
233	2016-12-06 00:00:00+00:00	126
233	2016-12-07 00:00:00+00:00	84
233	2016-12-08 00:00:00+00:00	81
233	2016-12-09 00:00:00+00:00	21
233	2016-12-10 00:00:00+00:00	22
233	2016-12-11 00:00:00+00:00	41
233	2016-12-12 00:00:00+00:00	93
233	2016-12-13 00:00:00+00:00	132
233	2016-12-14 00:00:00+00:00	82
233	2016-12-15 00:00:00+00:00	83
233	2016-12-16 00:00:00+00:00	86
233	2016-12-17 00:00:00+00:00	41
233	2016-12-18 00:00:00+00:00	69
233	2016-12-19 00:00:00+00:00	50
233	2016-12-20 00:00:00+00:00	122
233	2016-12-21 00:00:00+00:00	94
233	2016-12-22 00:00:00+00:00	56
233	2016-12-23 00:00:00+00:00	39
233	2016-12-24 00:00:00+00:00	46
233	2016-12-25 00:00:00+00:00	34
233	2016-12-26 00:00:00+00:00	57
233	2016-12-27 00:00:00+00:00	87
